"spkid","full_name","e","per_y","class"
20527715,"527715 (2007 YQ56)",0.2880,1.22,APO
20528804,"528804 (2009 BJ58)",0.7126,2.52,APO
20528807,"528807 (2009 BL71)",0.2657,0.907,ATE
20529366,"529366 (2009 WM1)",0.1689,1.28,APO
20529951,"529951 (2010 UD)",0.2641,1.15,APO
20530520,"530520 (2011 LT17)",0.2873,1.15,APO
20530974,"530974 (2012 BN11)",0.3948,1.76,APO
20531277,"531277 (2012 MM11)",0.6481,3.07,APO
20533372,"533372 (2014 GG17)",0.3525,1.6,APO
20535844,"535844 (2015 BY310)",0.4010,2,APO
20536531,"536531 (2015 DV215)",0.4026,1.91,APO
20537395,"537395 (2015 LG2)",0.1817,1.41,AMO
20538212,"538212 (2016 CA136)",0.7812,2.89,APO
20539063,"539063 (2016 MK1)",0.7159,1.84,APO
20549948,"549948 (2011 WL2)",0.2834,1.12,APO
20585310,"585310 (2017 YZ1)",0.3349,1.53,APO
20612012,"612012 (1983 LC)",0.7145,4.2,APO
20612050,"612050 (1997 GL3)",0.7844,3.42,APO
20612094,"612094 (1999 NW2)",0.1086,1.18,APO
20612098,"612098 (1999 RM45)",0.6447,2.18,APO
20612197,"612197 (2000 WP19)",0.2884,0.79,ATE
20612267,"612267 (2001 SG286)",0.3473,1.58,APO
